Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
130000,1.4032968,35.64468864468864,0.69458383,1.3929044874009742,1.3929044874009742,0.20819318,0.016506452,0.00027536164,0.19178721,0.00045975734,1.0
140000,1.4003873,36.438202247191015,0.7169104,1.5259266277489145,1.5259266277489145,0.24435139,0.0141603965,0.00027290024,0.19096674,0.000455737,1.0
150000,1.3978654,36.193308550185876,0.79693484,1.652976376735034,1.652976376735034,0.37908888,0.01927573,0.00027043407,0.19014469,0.0004517089,1.0
160000,1.3960115,35.992592592592594,0.779871,1.617545039144655,1.617545039144655,0.31208515,0.01897222,0.000268791,0.18959704,0.00044902525,1.0
170000,1.3934686,36.2639405204461,0.707485,1.494357709215476,1.494357709215476,0.24209917,0.01291091,0.0002671514,0.18905047,0.00044634735,1.0
180000,1.3898855,35.724264705882355,0.741285,1.6098167748080896,1.6098167748080896,0.2794763,0.021835644,0.00026551163,0.18850383,0.00044366895,1.0
190000,1.3867055,37.95330739299611,0.73865,1.6249049319831315,1.6249049319831315,0.27112624,0.017417096,0.00026304956,0.18768317,0.00043964747,1.0
200000,1.3851541,36.890151515151516,0.7575733,1.5120014599665548,1.5120014599665548,0.24588013,0.015496245,0.00026057984,0.18685992,0.0004356137,1.0
210000,1.3832794,38.14901960784314,0.776139,1.696961903908089,1.696961903908089,0.28957096,0.019236892,0.0002589352,0.18631174,0.00043292748,1.0
220000,1.3820426,37.13740458015267,0.7930349,1.649241810223756,1.649241810223756,0.25726196,0.016273286,0.00025728904,0.18576297,0.00043023872,1.0
230000,1.3801664,36.1310861423221,0.81484133,1.7698608899016435,1.7698608899016435,0.38238668,0.015227151,0.00025483035,0.18494344,0.0004262228,1.0
240000,1.3782148,39.4859437751004,0.7696562,1.6172655016304023,1.6172655016304023,0.24365611,0.015825914,0.00025236505,0.18412165,0.00042219617,1.0
